,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
195,EG,5108.33,eg2201,5111.0,eg2205,5214.0,2.6700000000000728,105.67000000000007,0.0005226757081080446,0.020685821002166982,20220110
196,EB,8510.0,eb2201,8510.0,eb2202,8451.0,0.0,-59.0,0.0,-0.0069330199764982,20220110
197,PG,5640.0,pg2201,5042.0,pg2202,5036.0,-598.0,-604.0,-0.1060283687943262,-0.10709219858156027,20220110
198,LH,15.38,lh2201,13970.0,lh2203,13635.0,13954.62,13619.62,907.3224967490247,885.5409622886866,20220110
199,WH,2850.0,WH201,2834.0,WH205,2949.0,-16.0,99.0,-0.0056140350877192935,0.03473684210526318,20220110
200,PM,2850.0,PM201,2422.0,PM201,2422.0,-428.0,-428.0,-0.15017543859649118,-0.15017543859649118,20220110
201,CF,22395.0,CF201,22235.0,CF205,21060.0,-160.0,-1335.0,-0.00714445188658186,-0.05961152042866713,20220110
202,SR,5730.0,SR201,5660.0,SR205,5715.0,-70.0,-15.0,-0.012216404886561949,-0.002617801047120394,20220110
203,TA,5165.56,TA201,5190.0,TA205,5242.0,24.4399999999996,76.4399999999996,0.00473133600229203,0.014798008347594482,20220110
204,OI,12730.0,OI201,12119.0,OI205,11924.0,-611.0,-806.0,-0.04799685781618224,-0.06331500392772982,20220110
205,MA,2397.5,MA201,2566.0,MA205,2643.0,168.5,245.5,0.07028154327424407,0.10239833159541178,20220110
206,FG,1866.3999999999999,FG201,1737.0,FG205,1891.0,-129.39999999999986,24.600000000000136,-0.0693313330475781,0.01318045435062154,20220110
207,RS,6310.0,RS207,5969.0,RS208,5977.0,-341.0,-333.0,-0.0540412044374009,-0.052773375594294736,20220110
208,RM,2942.0,RM201,3069.0,RM205,2944.0,127.0,2.0,0.04316791298436429,0.0006798096532971698,20220110
209,SF,8162.5,SF201,8584.0,SF205,8654.0,421.5,491.5,0.051638591117917354,0.06021439509954063,20220110
210,SM,7862.5,SM201,8402.0,SM205,8452.0,539.5,589.5,0.068616852146264,0.07497615262321156,20220110
211,CY,30333.33,CY201,27730.0,CY205,28525.0,-2603.3300000000017,-1808.3300000000017,-0.08582407536528303,-0.059615281276404586,20220110
212,UR,2628.0,UR201,2613.0,UR205,2551.0,-15.0,-77.0,-0.005707762557077611,-0.029299847792998435,20220110
213,SA,2650.0,SA201,2255.0,SA205,2371.0,-395.0,-279.0,-0.14905660377358487,-0.10528301886792457,20220110
